,asin,product_title,product_price,product_original_price,currency,product_star_rating,product_num_ratings,product_url,product_photo,product_num_offers,product_minimum_offer_price,is_best_seller,is_amazon_choice,is_prime,climate_pledge_friendly,sales_volume,delivery,has_variations,unit_price,unit_count,product_availability,coupon_text
0,B0CN3XR57P,"Introducing Amazon Kindle Colorsoft Signature Edition (32 GB) – With color display, auto-adjusting front light, wireless charging, and long battery life - Metallic Black",$279.99,,USD,,0,https://www.amazon.com/dp/B0CN3XR57P,https://m.media-amazon.com/images/I/710DKsFSagL._AC_UY654_FMwebp_QL65_.jpg,1,$279.99,False,False,True,False,7K+ bought in past month,"FREE delivery Mon, Nov 4 Or fastest delivery Fri, Nov 1 This item will be released on October 30, 2024.",False,,,,
1,B0CNVCQZG1,"New Amazon Kindle (16 GB) - Lightest and most compact Kindle, with glare-free display, faster page turns, adjustable front light, and long battery life - Matcha",$109.99,,USD,5,1,https://www.amazon.com/dp/B0CNVCQZG1,https://m.media-amazon.com/images/I/51jbB7VdmmL._AC_UY654_FMwebp_QL65_.jpg,1,$109.99,False,False,True,False,500+ bought in past month,"FREE delivery Tue, Oct 22 Or fastest delivery Sat, Oct 19",False,,,,
2,B0CZB9Z477,New Amazon Kindle Scribe (64GB) - Redesigned display with uniform borders. Now write directly on books and documents. With built-in notebook summarization. Includes Premium Pen - Metallic Jade,$449.99,,USD,,0,https://www.amazon.com/dp/B0CZB9Z477,https://m.media-amazon.com/images/I/71Xoy94ij1L._AC_UY654_FMwebp_QL65_.jpg,1,$449.99,False,False,True,True,100+ bought in past month,"FREE delivery Thu, Dec 19 Or fastest delivery Thu, Dec 12 This item will be released on December 4, 2024.",False,,,,
3,B0CJM1GNFQ,"Amazon Fire TV Stick 4K with AI-powered Fire TV Search, Wi-Fi 6, stream over 1.5 million movies and shows, free &amp; live TV",$49.99,,USD,4.7,41735,https://www.amazon.com/dp/B0CJM1GNFQ,https://m.media-amazon.com/images/I/417H5BZf2LL._AC_UY654_FMwebp_QL65_.jpg,1,$49.99,True,False,True,False,10K+ bought in past month,"FREE delivery Tue, Oct 22 Or fastest delivery Sat, Oct 19",False,,,,
4,B0C8RR4WN3,"All-new Amazon Kindle Paperwhite Signature Edition (32 GB) – Our fastest Kindle with auto-adjusting front light, wireless charging, and weeks of battery life – Metallic Black",$199.99,,USD,4,2,https://www.amazon.com/dp/B0C8RR4WN3,https://m.media-amazon.com/images/I/710-budOI2L._AC_UY654_FMwebp_QL65_.jpg,1,$199.99,False,False,True,True,500+ bought in past month,"FREE delivery Wed, Oct 23 Or fastest delivery Mon, Oct 21",False,,,,
5,B0CT2N9MBQ,"All New, Made for Amazon, Wireless Charging Dock for Kindle Paperwhite Signature Editions (2022 &amp; 2024 Releases) and Kindle Colorsoft Signature Edition (2024 Release)",$39.99,,USD,,0,https://www.amazon.com/dp/B0CT2N9MBQ,https://m.media-amazon.com/images/I/81S-GuPuGxL._AC_UY654_FMwebp_QL65_.jpg,1,$39.99,False,False,True,False,,"FREE delivery Mon, Oct 21 Or fastest delivery Fri, Oct 18",False,,,,
6,B0BZWRLRLK,"All-new Ring Battery Doorbell — Now with 66% more coverage, Head-to-Toe Video, Live View with Two-Way Talk, and Motion Detection &amp; Alerts (2024 release), Venetian Bronze",$99.99,,USD,4.3,409,https://www.amazon.com/dp/B0BZWRLRLK,https://m.media-amazon.com/images/I/61TLneKHd+L._AC_UY654_FMwebp_QL65_.jpg,1,$99.99,False,False,True,True,10K+ bought in past month,"FREE delivery Mon, Oct 21 Or fastest delivery Fri, Oct 18",False,,,,
7,B0CFPTK5JG,"All-new Amazon Kindle Paperwhite (16 GB) – Our fastest Kindle ever, with new 7&quot; glare-free display and weeks of battery life – Raspberry",$159.99,,USD,3.9,8,https://www.amazon.com/dp/B0CFPTK5JG,https://m.media-amazon.com/images/I/711DIBehMTL._AC_UY654_FMwebp_QL65_.jpg,1,$159.99,False,False,True,True,500+ bought in past month,"FREE delivery Wed, Oct 23",False,,,,
8,B0DGNSVTFK,"Introducing All-New Amazon Plant-Based Leather Case- Lightweight, Protective Cover Designed with Sustainability in Mind for All-new Kindle Paperwhite and Kindle Colorsoft Signature Edition",$42.99,,USD,,0,https://www.amazon.com/dp/B0DGNSVTFK,https://m.media-amazon.com/images/I/71ueWn-ouUL._AC_UY654_FMwebp_QL65_.jpg,1,$42.99,True,False,True,False,1K+ bought in past month,"FREE delivery Fri, Oct 25 Or fastest delivery Tue, Oct 22",False,,,,
9,B0DGNVSYR5,"All-new Amazon Kindle Paperwhite and Kindle Colorsoft Signature Edition Case, Lightweight and Water-Safe, Foldable Protective Cover - Fabric",$36.99,,USD,,0,https://www.amazon.com/dp/B0DGNVSYR5,https://m.media-amazon.com/images/I/91KwBwyXicL._AC_UY654_FMwebp_QL65_.jpg,1,$36.99,False,False,True,False,500+ bought in past month,"FREE delivery Fri, Oct 25 Or fastest delivery Tue, Oct 22",False,,,,
10,B01EZV35QU,"Kasa Smart Light Switch HS200, Single Pole, Needs Neutral Wire, 2.4GHz Wi-Fi Light Switch Works with Alexa and Google Home, UL Certified, No Hub Required , White, HS200",$12.99,$19.99,USD,4.6,61564,https://www.amazon.com/dp/B01EZV35QU,https://m.media-amazon.com/images/I/611JGGx4DPL._AC_UY654_FMwebp_QL65_.jpg,11,$9.31,False,False,True,True,6K+ bought in past month,"FREE delivery Mon, Oct 21 on $35 of items shipped by AmazonOr fastest delivery Fri, Oct 18",False,,,,
11,B0DGNZ372J,"All-new Amazon Kindle Paperwhite and Kindle Colorsoft Signature Edition Case, Lightweight and Foldable Protective Cover - Premium Leather",$64.99,,USD,,0,https://www.amazon.com/dp/B0DGNZ372J,https://m.media-amazon.com/images/I/81eT7nsvm8L._AC_UY654_FMwebp_QL65_.jpg,1,$64.99,False,False,True,False,400+ bought in past month,"FREE delivery Thu, Oct 24 Or fastest delivery Tue, Oct 22",False,,,,
